drug_name,test_sample_count,test_mae,test_rmse,test_mse,test_pearson,test_spearman,test_r2,test_original_mae,test_original_rmse
Dactolisib,19,0.022975974961331014,0.031235808400148658,0.0009756757264107975,0.46559049095364036,0.5087719298245614,0.161053442525531,0.933322754284822,1.2669837736332326
Daporinad,30,0.041761395335197446,0.04968165587353501,0.0024682669303363563,0.6472333020405836,0.56440489432703,0.40008011798206466,1.6987266115460857,2.022340732690083
Dasatinib,6,0.04904917379220327,0.06729399738977626,0.004528482084695214,0.4932144922620304,0.6571428571428573,0.18491412614905822,2.0037804657787723,2.762252903930616
Docetaxel,20,0.022091151773929597,0.025904031908332726,0.00067101886910792,0.8314664376445243,0.8225563909774435,0.41430589946442287,0.9374130310148165,1.1023237762649158
Doramapimod,24,0.016374434034029644,0.019740208697370386,0.00038967583941573736,0.1883449542671209,0.13826086956521738,-0.1952064606313979,0.6806100117342497,0.8214791479775128
Doxorubicin,32,0.023616332560777664,0.028954142235873725,0.0008383423526152067,0.7082264224887979,0.7712609970674487,0.48128074783991925,0.9541634800082609,1.1689141658304238
EHT-1864,26,0.018620756956247184,0.021982229140981833,0.00048321839800663085,0.38089701714525004,0.35794871794871796,-0.38919418590416943,0.7742000129602956,0.9158130373677233
Elesclomol,29,0.032974535021288644,0.039063751665182125,0.0015259766941590194,0.5430096401521242,0.32463054187192114,0.2553898714279802,1.3496767358589692,1.596565748894731
Embelin,22,0.015592439608140425,0.021322320066074315,0.0004546413330001154,0.6136002113061149,0.4692264257481649,0.30044826279378745,0.6415755630013283,0.88417279922034
Entinostat,14,0.01820612166609083,0.023504067222465123,0.0005524411759981593,0.5462715994176822,0.5912087912087912,0.274656143257898,0.7305789410982543,0.943568079235307
Enzastaurin,25,0.035147509574890136,0.03967372962839359,0.0015740048226268754,0.5393144595310112,0.6316599462874044,0.27061556137438547,1.443754530006555,1.6272474314307135
Epothilone B,28,0.021339950816971914,0.028582833094132672,0.0008169783476870458,0.7733874725720247,0.8456486042692939,0.4722136269443339,0.8915556808425348,1.1834250991807391
Erlotinib,11,0.022352118383754383,0.028888374983072906,0.0008345382091626325,0.399704676505849,0.30000000000000004,0.15162179817193022,0.9109891967312707,1.1739311176223037
Etoposide,24,0.02739254633585612,0.03356343477944276,0.001126504154193908,0.7441168069028473,0.748695652173913,0.5449926530487545,1.1141815432146913,1.3643251222599737
FH535,38,0.01597361423467335,0.023865891761160694,0.0005695807895554379,0.6119940735915657,0.6340956340956341,0.35994767171741815,0.6515201708059845,0.9910931755359091
FMK,27,0.026325358284844294,0.02849990738458549,0.0008122447209299506,0.7267126262230917,0.6623931623931624,-1.2057069926909252,1.1168384360702655,1.2133032546414066
FR-180204,25,0.022538278102874756,0.025721185105604453,0.0006615793632367684,0.8003114878387336,0.6984615384615384,-0.08807598306203457,0.9545331755000191,1.0932976582228369
FTI-277,25,0.01311619758605957,0.018161541305833005,0.0003298415826034784,0.3595461262022488,0.4684615384615385,-0.1472174078555788,0.5301781549306442,0.7331497599532282
Fedratinib,25,0.015664294958114625,0.01907955287819338,0.0003640293380317772,0.8515402209104767,0.7246153846153846,0.6829599480828581,0.6386637143172106,0.7780590654305107
GNF-2,10,0.013437366485595703,0.014935764870666949,0.00022307707227184893,0.5392282256178086,0.5393939393939393,-0.037306662356193065,0.5455032106040114,0.6061253510068993
GSK1070916,21,0.014333635568618774,0.01957506449429924,0.00038318314995597477,0.7947561751223331,0.8155844155844156,0.42716617874894414,0.5809444249162911,0.7906657335890768
GSK1904529A,38,0.011194502052507903,0.01584032839392122,0.0002509160036272668,0.67708848585298,0.7268250146760309,0.40489936837515805,0.4524766910741148,0.6382563496159592
GSK269962A,50,0.02507544159889221,0.03355953738945817,0.0011262425497944406,0.30083458908399163,0.2904681872749099,0.0336789802652836,1.0142571698879268,1.3561683063602588
GSK319347A,7,0.015716390950339183,0.01784786111618429,0.0003185461464226031,0.5104087740322942,-0.07142857142857144,-0.8890198122549178,0.6516605838629616,0.7406791144153646
GSK429286A,29,0.024873287513338286,0.028535220942252644,0.0008142588342231739,0.8018563841512285,0.8458128078817733,-0.07908348029696222,1.0561415247083494,1.217979395055194
GSK650394,18,0.024378043082025316,0.029991690722859853,0.0008995015124156778,0.877980384166408,0.8844169246646028,0.5993606779053282,1.0178095250103512,1.2611128100737001
GSK690693,29,0.023167910247013486,0.02589365793754209,0.0006704815213864365,0.6786786941669616,0.6802955665024629,0.2357627884204444,0.9635887142955507,1.0770693634033097
GW-2580,27,0.027547937852365,0.03011862902760116,0.0009071318145022592,0.3928195952053141,0.29242979242979245,-3.9536084201704824,1.1684710006421661,1.2790847023352192
GW441756,25,0.016675342321395874,0.021598696455477972,0.00046650368857587666,0.6072896500717159,0.63,0.32876205771602784,0.6794468747304774,0.8787502984718881
GW843682X,17,0.032301548649283016,0.03850758979565691,0.00148283447187058,0.6420175149373472,0.7181372549019608,0.37497227049774773,1.3163786580698094,1.565719926608619
Gefitinib,13,0.022466210218576286,0.024971290936816704,0.000623565371051144,0.18195817236413572,0.0,-0.42050853823065193,0.9013178468940393,1.0015093225604677
Gemcitabine,32,0.022240654565393925,0.02885312072471691,0.0008325025755550886,0.9018944922306579,0.875,0.7667277668598851,0.9183478139600363,1.1931562520114083
HG-5-113-01,13,0.01311558485031128,0.015300188341468072,0.0002340957632843955,0.666726875515436,0.6208791208791209,0.41579659750284015,0.5300934403727378,0.6181366576991595
HG-5-88-01,13,0.024049043655395508,0.02725346886528783,0.0007427515651912131,-0.08261437616128327,-0.005494505494505494,-0.6708265377020648,0.9940270026368988,1.1270359182460927
HG6-64-1,24,0.030664185682932537,0.03540853062608099,0.0012537640410981155,0.644714784276299,0.6869565217391305,0.3086837025610174,1.2360081461583716,1.427034294633904
I-BET-762,35,0.023961269004004342,0.029341502673649062,0.000860923779147755,0.8184567385459744,0.7075630252100841,0.4804352127892768,1.001393314157988,1.2289858956677138
IOX2,31,0.013990287819216329,0.016445903173777813,0.0002704677312012752,0.5980215441417588,0.7068548387096775,-0.21467030823312028,0.5604067564042071,0.6589209982011408
IPA-3,21,0.02106565237045288,0.027753102196071414,0.000770234681505584,0.7609120367140881,0.7792207792207791,0.4047117204593127,0.877072837574792,1.1593049682730865
Idelalisib,18,0.018674721320470173,0.024193990179295355,0.0005853491607958401,0.22846178333923922,0.3312693498452013,-1.042925738574569,0.7847991742639598,1.0187441503458343
Imatinib,6,0.01508098840713501,0.01767140630891352,0.00031227860093470855,0.6528789705770991,0.6,0.1811774449887712,0.6151938042520025,0.720920948139073
Ispinesib Mesylate,24,0.017860131959120434,0.021326182924635385,0.0004548060781350098,0.8897462937070586,0.88,0.7325851514552264,0.7232259463063716,0.862865891982785
JNK Inhibitor VIII,34,0.02169050889856675,0.02569883583235333,0.0006604301631382474,0.7227284473752135,0.6183346065699006,-0.6705162908488351,0.9149552681790608,1.088766340063388
JNK-9L,20,0.019420364499092103,0.024579026832320272,0.0006041285600239199,0.5641703649899146,0.7458646616541353,0.30462005052339813,0.7793912351961227,0.9871051877363486
JQ1,62,0.028173429831381765,0.0341318858471277,0.0011649856314813565,0.5462089338651785,0.5044321331239348,0.2892706485994879,1.1334232039451166,1.3727802104240574
JW-7-24-1,39,0.023099473653695524,0.027198928702065632,0.0007397817225400497,0.6621881401600848,0.6831983805668016,0.2316591817732142,0.9324462683844353,1.0991168354090675
KIN001-244,31,0.015228315707175963,0.02011813105120122,0.0004047391969933068,0.8379823486527943,0.8172194819230417,0.6353792777914735,0.6279699212413569,0.8269569011919803
KIN001-260,28,0.023786048804010664,0.026380336785957224,0.0006959221689405279,0.841982065952327,0.8292282430213463,0.309371455470997,0.9978352918874612,1.1092835978252233
