feature_name,reference_mean,reference_std,reference_min,reference_max,reference_nonzero_rate
ECH1,0.01697792869269949,0.12918853908147196,0.0,1.0,0.01697792869269949
HNRNPL,0.044142614601018676,0.205411889084358,0.0,1.0,0.044142614601018676
RINL,0.03225806451612903,0.17668469596940797,0.0,1.0,0.03225806451612903
SIRT2,0.010186757215619695,0.10041407865956713,0.0,1.0,0.010186757215619695
NFKBIB,0.013582342954159592,0.11574913785439213,0.0,1.0,0.013582342954159592
CCER2,0.01697792869269949,0.12918853908147188,0.0,1.0,0.01697792869269949
SARS2,0.027164685908319185,0.16256311312170946,0.0,1.0,0.027164685908319185
MRPS12,0.010186757215619695,0.100414078659567,0.0,1.0,0.010186757215619695
FBXO17,0.022071307300509338,0.1469155018864781,0.0,1.0,0.022071307300509338
FBXO27,0.008488964346349746,0.09174367460853167,0.0,1.0,0.008488964346349746
ACP7,0.022071307300509338,0.14691550188647812,0.0,1.0,0.022071307300509338
PAK4,0.03735144312393888,0.18962149883517435,0.0,1.0,0.03735144312393888
NCCRP1,0.015280135823429542,0.12266480046307969,0.0,1.0,0.015280135823429542
SYCN,0.008488964346349746,0.09174367460853176,0.0,1.0,0.008488964346349746
IFNL3,0.010186757215619695,0.10041407865956718,0.0,1.0,0.010186757215619695
IFNL2,0.0050933786078098476,0.0711859262928235,0.0,1.0,0.0050933786078098476
IFNL1,0.023769100169779286,0.15232901905709992,0.0,1.0,0.023769100169779286
LRFN1,0.057724957555178265,0.23322261217650164,0.0,1.0,0.057724957555178265
SAMD4B,0.04074702886247878,0.19770358747721065,0.0,1.0,0.04074702886247878
PAF1,0.03225806451612903,0.17668469596940808,0.0,1.0,0.03225806451612903
MED29,0.010186757215619695,0.10041407865956722,0.0,1.0,0.010186757215619695
ZFP36,0.06791171477079797,0.25159434367188754,0.0,1.0,0.06791171477079797
PLEKHG2,0.059422750424448216,0.2364142279061101,0.0,1.0,0.059422750424448216
RPS16,0.001697792869269949,0.0411692891442518,0.0,1.0,0.001697792869269949
SUPT5H,0.050933786078098474,0.21986253776814493,0.0,1.0,0.050933786078098474
TIMM50,0.025466893039049237,0.1575383458018616,0.0,1.0,0.025466893039049237
DLL3,0.03395585738539898,0.18111559053439175,0.0,1.0,0.03395585738539898
SELENOV,0.02037351443123939,0.14127432300655093,0.0,1.0,0.02037351443123939
EID2B,0.006791171477079796,0.08212826229166585,0.0,1.0,0.006791171477079796
EID2,0.006791171477079796,0.08212826229166593,0.0,1.0,0.006791171477079796
LGALS13,0.008488964346349746,0.0917436746085315,0.0,1.0,0.008488964346349746
LGALS16,0.011884550084889643,0.1083665425958093,0.0,1.0,0.011884550084889643
CLC,0.013582342954159592,0.11574913785439245,0.0,1.0,0.013582342954159592
LEUTX,0.013582342954159592,0.11574913785439246,0.0,1.0,0.013582342954159592
DYRK1B,0.050933786078098474,0.2198625377681448,0.0,1.0,0.050933786078098474
FBL,0.013582342954159592,0.11574913785439238,0.0,1.0,0.013582342954159592
FCGBP,0.22580645161290322,0.418112303123089,0.0,1.0,0.22580645161290322
PSMC4,0.01697792869269949,0.12918853908147185,0.0,1.0,0.01697792869269949
ZNF546,0.03225806451612903,0.17668469596940822,0.0,1.0,0.03225806451612903
ZNF780B,0.028862478777589132,0.16741993936327376,0.0,1.0,0.028862478777589132
ZNF780A,0.013582342954159592,0.11574913785439263,0.0,1.0,0.013582342954159592
MAP3K10,0.06451612903225806,0.24567010018915852,0.0,1.0,0.06451612903225806
TTC9B,0.01697792869269949,0.1291885390814721,0.0,1.0,0.01697792869269949
CCNP,0.011884550084889643,0.10836654259580931,0.0,1.0,0.011884550084889643
AKT2,0.022071307300509338,0.14691550188647823,0.0,1.0,0.022071307300509338
C19orf47,0.023769100169779286,0.15232901905709964,0.0,1.0,0.023769100169779286
PLD3,0.013582342954159592,0.11574913785439228,0.0,1.0,0.013582342954159592
HIPK4,0.028862478777589132,0.16741993936327385,0.0,1.0,0.028862478777589132
PRX,0.0730050933786078,0.2601448629502199,0.0,1.0,0.0730050933786078
SERTAD1,0.013582342954159592,0.1157491378543926,0.0,1.0,0.013582342954159592
SERTAD3,0.010186757215619695,0.10041407865956709,0.0,1.0,0.010186757215619695
BLVRB,0.022071307300509338,0.1469155018864781,0.0,1.0,0.022071307300509338
SPTBN4,0.15110356536502548,0.3581497981278264,0.0,1.0,0.15110356536502548
SHKBP1,0.03904923599320883,0.19371213994366854,0.0,1.0,0.03904923599320883
LTBP4,0.0967741935483871,0.29565004483585994,0.0,1.0,0.0967741935483871
NUMBL,0.030560271646859084,0.17212304158284297,0.0,1.0,0.030560271646859084
COQ8B,0.03225806451612903,0.17668469596940825,0.0,1.0,0.03225806451612903
ITPKC,0.01867572156196944,0.13537702532597345,0.0,1.0,0.01867572156196944
ACTMAP,0.010186757215619695,0.10041407865956709,0.0,1.0,0.010186757215619695
SNRPA,0.01867572156196944,0.13537702532597376,0.0,1.0,0.01867572156196944
MIA,0.011884550084889643,0.1083665425958091,0.0,1.0,0.011884550084889643
RAB4B,0.006791171477079796,0.08212826229166582,0.0,1.0,0.006791171477079796
EGLN2,0.01867572156196944,0.1353770253259737,0.0,1.0,0.01867572156196944
CYP2A6,0.01697792869269949,0.12918853908147188,0.0,1.0,0.01697792869269949
