feature_name,reference_mean,reference_std,reference_min,reference_max,reference_nonzero_rate
PPP1R16A (84988),4.707364696604414,0.9075003643814684,1.2467729,8.1615095,1.0
FOXH1 (8928),0.4360134823870968,0.523698730241805,0.0,5.3302393,0.9626485568760611
ORAI2 (80228),3.4750824745500846,1.315600338509614,0.19908117,7.0295963,1.0
ALKBH4 (54784),3.40297947385399,0.5498312572853772,1.6372254,5.1315856,1.0
TEKTL1 (126402),0.0009181148353140917,0.015730746608054284,0.0,0.37827522,0.01867572156196944
SH2B2 (10603),1.7484945387096777,1.12514220537902,0.074319094,6.6771417,1.0
MRNIP (51149),5.544496326400679,0.8339779386656931,3.3766098,9.07284,1.0
SQSTM1 (8878),7.6390193239388795,1.2447739378576168,4.3772836,12.512239,1.0
MGAT4B (11282),6.956159325297114,0.8785007485989264,4.153254,9.500694,1.0
RPL8 (6132),10.868651111205432,0.6083323271931416,8.747733,13.421736,1.0
MAML1 (9794),3.7146359016977932,0.5903956055308223,1.4781125,5.3195024,1.0
PGLYRP2 (114770),0.08481878682003396,0.45594639619748756,0.0,5.9309173,0.3174872665534805
LRWD1 (222229),4.283684829202038,0.7511972257214278,2.1617231,6.5658026,1.0
FBXL13 (222235),0.9880252898421052,1.0644582162197014,0.0,6.376174,0.9932088285229203
NAPEPLD (222236),3.0670861378947367,0.71894973913201,0.8028682,4.90392,1.0
SCGB3A1 (92304),0.0890217971409168,0.33845906206842147,0.0,3.1548944,0.21901528013582344
PSMC2 (5701),6.422281872156197,0.6340055599564727,4.328822,8.457127,1.0
CELF5 (60680),0.5249493659804754,0.8647992328135855,0.0,5.649331,0.9558573853989814
MFSD12 (126321),5.805877622071308,1.17288235986739,2.679588,10.984411,1.0
YDJC (150223),4.957771236757216,0.7262484183975801,1.7348158,8.078017,1.0
CCDC116 (164592),0.2303825574762309,0.24313627882308628,0.0,2.2935028,0.9626485568760611
DVL3 (1857),5.265049327249574,0.6770966285214853,2.6711915,7.9105825,1.0
AP2M1 (1173),8.387702006451613,0.7398108768744611,5.8975816,11.568749,1.0
ABCF3 (55324),5.68303208336163,0.5089769449811571,4.163209,7.5778065,1.0
